// Output Data File:
//
// FILENAME 3BusTestCase.out
//
// CASE FILENAME :
3BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              3	              3	              3	              2
//        RandomSeed	 iMaxDay	    dThresholdProbability	   dGenPriceCap	   dLSEPriceCap	 bMaximumDay	  bThreshold
           695672061	       2	                 0.999000	    1000.000000	       0.000000	           1	           1
//  bActionProb	      iStartDay	     iDayLength	    dActionProb	     bLearnProb	 iLearnStartDay	iLearnDayLength	     dLearnProb	    bNetEarning	    iNEStartDay	   iNEDayLength	   dNEThreshold
              0	              1	              5	       0.001000	              0	              1	              5	       0.001000	              0	              1	              5	      10.000000
#LMPWithTrueCostDataStart
// Hour	          Bus 1	          Bus 2	          Bus 3
#LMPWithTrueCostDataEnd

#GeneratorCommitmentWithTrueCostDataStart
// Hour	         GenCo1	         GenCo2	         GenCo3
#GeneratorCommitmentWithTrueCostDataEnd

#GeneratorProfitWithTrueCostDataStart
// Hour	   GenID	         Profit	   Net Earnings	        Revenue
NONE
#GeneratorProfitWithTrueCostDataEnd

#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
    6	   14	     600.000000	       0.000000	       0.000000
    7	    0	     600.000000	       0.000000	       0.000000
    7	    1	     600.000000	       0.000000	       0.000000
    7	    2	     600.000000	       0.000000	       0.000000
    7	    3	     600.000000	       0.000000	       0.000000
    7	    4	     600.000000	       0.000000	       0.000000
    7	    5	     600.000000	       0.000000	       0.000000
    7	    6	     600.000000	       0.000000	       0.000000
    7	    7	     600.000000	       0.000000	       0.000000
    7	    8	     600.000000	       0.000000	       0.000000
    7	    9	     600.000000	       0.000000	       0.000000
    7	   10	     600.000000	       0.000000	       0.000000
    7	   11	     600.000000	       0.000000	       0.000000
    7	   12	     600.000000	       0.000000	       0.000000
    7	   13	     600.000000	       0.000000	       0.000000
    7	   14	     600.000000	       0.000000	       0.000000
    8	    0	     600.000000	       0.000000	       0.000000
    8	    1	     600.000000	       0.000000	       0.000000
    8	    2	     600.000000	       0.000000	       0.000000
    8	    3	     600.000000	       0.000000	       0.000000
    8	    4	     600.000000	       0.000000	       0.000000
    8	    5	     600.000000	       0.000000	       0.000000
    8	    6	     600.000000	       0.000000	       0.000000
    8	    7	     600.000000	       0.000000	       0.000000
    8	    8	     600.000000	       0.000000	       0.000000
    8	    9	     600.000000	       0.000000	       0.000000
    8	   10	     600.000000	       0.000000	       0.000000
    8	   11	     600.000000	       0.000000	       0.000000
    8	   12	     600.000000	       0.000000	       0.000000
    8	   13	     600.000000	       0.000000	       0.000000
    8	   14	     600.000000	       0.000000	       0.000000
    9	    0	     600.000000	       0.000000	       0.000000
    9	    1	     600.000000	       0.000000	       0.000000
    9	    2	     600.000000	       0.000000	       0.000000
    9	    3	     600.000000	       0.000000	       0.000000
    9	    4	     600.000000	       0.000000	       0.000000
    9	    5	     600.000000	       0.000000	       0.000000
    9	    6	     600.000000	       0.000000	       0.000000
    9	    7	     600.000000	       0.000000	       0.000000
    9	    8	     600.000000	       0.000000	       0.000000
    9	    9	     600.000000	       0.000000	       0.000000
    9	   10	     600.000000	       0.000000	       0.000000
    9	   11	     600.000000	       0.000000	       0.000000
    9	   12	     600.000000	       0.000000	       0.000000
    9	   13	     600.000000	       0.000000	       0.000000
    9	   14	     600.000000	       0.000000	       0.000000
   10	    0	    1000.000000	       0.000000	       0.000000
   10	    1	    1000.000000	       0.000000	       0.000000
   10	    2	    1000.000000	       0.000000	       0.000000
   10	    3	    1000.000000	       0.000000	       0.000000
   10	    4	    1000.000000	       0.000000	       0.000000
   10	    5	    1000.000000	       0.000000	       0.000000
   10	    6	    1000.000000	       0.000000	       0.000000
   10	    7	    1000.000000	       0.000000	       0.000000
   10	    8	    1000.000000	       0.000000	       0.000000
   10	    9	    1000.000000	       0.000000	       0.000000
   10	   10	    1000.000000	       0.000000	       0.000000
   10	   11	    1000.000000	       0.000000	       0.000000
   10	   12	    1000.000000	       0.000000	       0.000000
   10	   13	    1000.000000	       0.000000	       0.000000
   10	   14	    1000.000000	       0.000000	       0.000000
   11	    0	    1000.000000	       0.000000	       0.000000
   11	    1	    1000.000000	       0.000000	       0.000000
   11	    2	    1000.000000	       0.000000	       0.000000
   11	    3	    1000.000000	       0.000000	       0.000000
