USPS	GEOID	ANSICODE	NAME	FUNCSTAT10	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                         
TX	4808592720	01939025	Nevada CCD	S	8797	3148	152377564	15440949	      58.833	       5.962	 33.029042	 -96.385327                                                                                       
TX	4808593065	01939094	Plano CCD	S	500724	196993	493875851	19813279	     190.687	       7.650	 33.059636	 -96.661072                                                                                    
TX	4808593150	01939111	Princeton CCD	S	16255	6073	131868349	36912839	      50.915	      14.252	 33.153375	 -96.503982                                                                                   
TX	4808793400	01939162	Samnorwood CCD	S	190	155	1147699997	428322	     443.129	       0.165	 35.073945	-100.242357                                                                                      
TX	4808794130	01939308	Wellington CCD	S	2867	1461	1231050622	1850916	     475.311	       0.715	 34.870868	-100.284128                                                                                   
TX	4808990800	01938638	Columbus CCD	S	9174	4561	760622424	8561697	     293.678	       3.306	 29.772881	 -96.529051                                                                                      
TX	4808991095	01938697	Eagle Lake CCD	S	4769	2055	497706839	12941101	     192.166	       4.997	 29.621440	 -96.350016                                                                                   
TX	4808991470	01938771	Garwood CCD	S	2162	1203	671686402	10196460	     259.340	       3.937	 29.448556	 -96.519703                                                                                      
TX	4808994120	01939306	Weimar CCD	S	4769	2708	557081504	3037925	     215.090	       1.173	 29.622620	 -96.702735                                                                                        
TX	4809190627	01938639	Canyon Lake CCD	S	44736	20779	858379721	36129837	     331.422	      13.950	 29.852512	 -98.325953                                                                                
TX	4809192730	01939027	New Braunfels CCD	S	63736	26329	590657342	3760373	     228.054	       1.452	 29.758823	 -98.190462                                                                               
TX	4809390810	01938640	Comanche CCD	S	7534	3743	1084775326	7187876	     418.834	       2.775	 31.916883	 -98.664072                                                                                     
TX	4809390985	01938675	De Leon CCD	S	4424	2378	628436311	15815200	     242.641	       6.106	 32.110318	 -98.597673                                                                                      
TX	4809391665	01938814	Gustine CCD	S	2016	1102	715559109	2714943	     276.279	       1.048	 31.855038	 -98.374121                                                                                       
TX	4809591160	01938710	Eden-Millersview CCD	S	3310	1119	1876239698	24326458	     724.420	       9.392	 31.274636	 -99.824083                                                                            
TX	4809591255	01938729	Eola-Paint Rock CCD	S	777	518	671788658	1297693	     259.379	       0.501	 31.477492	 -99.965815                                                                                 
TX	4809790580	01938591	Callisburg CCD	S	5994	2434	568639910	5952848	     219.553	       2.298	 33.765773	 -97.071925                                                                                    
TX	4809791435	01938764	Gainesville CCD	S	15464	6460	43439073	107404	      16.772	       0.041	 33.638695	 -97.138932                                                                                    
TX	4809791440	01938765	Gainesville Southeast CCD	S	7112	3476	294117990	39016522	     113.560	      15.064	 33.513083	 -97.015834                                                                        
TX	4809792680	01939017	Muenster CCD	S	5093	2267	647193578	5768296	     249.883	       2.227	 33.736606	 -97.354319                                                                                      
TX	4809793995	01939281	Valley View CCD	S	4774	1969	712225229	10488823	     274.992	       4.050	 33.509062	 -97.294381                                                                                  
TX	4809990845	01938647	Copperas Cove CCD	S	34203	13945	115974544	114730	      44.778	       0.044	 31.163121	 -97.937527                                                                                
TX	4809991270	01938731	Evant CCD	S	1289	724	490474138	29429	     189.373	       0.011	 31.374302	 -98.019473                                                                                            
